Group,Region,N,Mean,SD
HC,Left-Cerebellum-White-Matter,19,0.009915740283662,0.001127732308385
HC,Left-Cerebellum-Cortex,19,0.036282672730768,0.00302396814369
HC,Left-Thalamus,19,0.005107293017896,0.000373403012209
HC,Left-Caudate,19,0.002387851514321,0.00025157620771
HC,Left-Putamen,19,0.003364936548116,0.00032573579001
HC,Left-Pallidum,19,0.001398334561045,0.000120351051556
HC,Left-Hippocampus,19,0.002697480723098,0.000212428227826
HC,Left-Amygdala,19,0.001182943797273,0.000125012099452
HC,Left-Accumbens-area,19,0.000314759397257,4.8422934235e-05
HC,CSF,19,0.000605570587393,9.2409950956e-05
HC,Right-Cerebellum-White-Matter,19,0.009081480265598,0.001056668002603
HC,Right-Cerebellum-Cortex,19,0.036520892154109,0.003213588823342
HC,Right-Thalamus,19,0.004883977665169,0.000300641686875
HC,Right-Caudate,19,0.00244334985832,0.000235699113626
HC,Right-Putamen,19,0.003360311279612,0.000299270491304
HC,Right-Pallidum,19,0.001359548793953,0.000117403980664
HC,Right-Hippocampus,19,0.002824836424406,0.00021949533467
HC,Right-Amygdala,19,0.001246231336089,0.000119339174714
HC,Right-Accumbens-area,19,0.00033628633765,4.3119086879e-05
HC,WM-hypointensities,19,0.00047391706594,0.000145358660888
HC,CC_Posterior,19,0.000645391864617,0.000127954328787
HC,CC_Mid_Posterior,19,0.00037659426337,7.2161525973e-05
HC,CC_Central,19,0.000386321372404,9.0397672937e-05
HC,CC_Mid_Anterior,19,0.000412349578366,8.7309923862e-05
HC,CC_Anterior,19,0.000618440754319,0.000103643245946
HC,BrainSegVol,19,0.753403534883892,0.017838828963752
HC,BrainSegVolNotVent,19,0.741372809333531,0.018798104619581
HC,lhCortexVol,19,0.153392517407796,0.006203228048493
HC,rhCortexVol,19,0.154897529540881,0.006902131731211
HC,CortexVol,19,0.308290046948585,0.012980424753189
HC,lhCerebralWhiteMatterVol,19,0.151012073931378,0.007481784079595
HC,rhCerebralWhiteMatterVol,19,0.151033763010266,0.007568947419739
HC,CerebralWhiteMatterVol,19,0.302045836941504,0.014999967478932
HC,SubCortGrayVol,19,0.039301294206342,0.001941030180333
HC,TotalGrayVol,19,0.421049189547565,0.013758381641986
IBS,Left-Cerebellum-White-Matter,20,0.00970822147933,0.001065787811685
IBS,Left-Cerebellum-Cortex,20,0.035530252173767,0.002560890140991
IBS,Left-Thalamus,20,0.004996306996211,0.000240476016762
IBS,Left-Caudate,20,0.002277648613573,0.000210541651426
IBS,Left-Putamen,20,0.003239947623685,0.000283523698793
IBS,Left-Pallidum,20,0.001347207988809,9.6050995252e-05
IBS,Left-Hippocampus,20,0.002720397115052,0.000198728409477
IBS,Left-Amygdala,20,0.001125895850506,0.000151863365901
IBS,Left-Accumbens-area,20,0.000340180889333,6.4437229466e-05
IBS,CSF,20,0.000602510291082,0.000122005141297
IBS,Right-Cerebellum-White-Matter,20,0.00922415445625,0.000999608615553
IBS,Right-Cerebellum-Cortex,20,0.036157001533814,0.002636072579246
IBS,Right-Thalamus,20,0.004753271585739,0.000239186190948
IBS,Right-Caudate,20,0.002357721832159,0.000237968276775
IBS,Right-Putamen,20,0.003301588761964,0.000279710546259
IBS,Right-Pallidum,20,0.001330834961916,0.000101139589091
IBS,Right-Hippocampus,20,0.002846532673904,0.000212176268778
IBS,Right-Amygdala,20,0.001195907477623,0.000119525742568
IBS,Right-Accumbens-area,20,0.000358497188629,4.9290339953e-05
IBS,WM-hypointensities,20,0.000477403939566,0.000129447303367
IBS,CC_Posterior,20,0.000649042602655,0.000100499819342
IBS,CC_Mid_Posterior,20,0.000363168687117,6.9413371387e-05
IBS,CC_Central,20,0.000431782791532,8.4890251427e-05
IBS,CC_Mid_Anterior,20,0.000441356505695,0.000130205109472
IBS,CC_Anterior,20,0.000612906435229,7.8850512317e-05
IBS,BrainSegVol,20,0.749131380748355,0.016474455868007
IBS,BrainSegVolNotVent,20,0.738573034595273,0.018364392229368
IBS,lhCortexVol,20,0.153128638729331,0.008706044785447
IBS,rhCortexVol,20,0.154667973881245,0.008590111811204
IBS,CortexVol,20,0.307796612610849,0.017151963042698
IBS,lhCerebralWhiteMatterVol,20,0.150578837690202,0.007418222251893
IBS,rhCerebralWhiteMatterVol,20,0.150747198348568,0.007269644431587
IBS,CerebralWhiteMatterVol,20,0.301326036038711,0.014613480981549
IBS,SubCortGrayVol,20,0.038549574510653,0.001617150078715
IBS,TotalGrayVol,20,0.418836051116248,0.018675897013687
