Group,Region,N,Mean,SD
HC,Left-Cerebellum-White-Matter,19,0.00991574,0.00112773
FD,Left-Cerebellum-White-Matter,18,0.00977322,0.00109715
IBD,Left-Cerebellum-White-Matter,19,0.00958635,0.00090588
IBS,Left-Cerebellum-White-Matter,20,0.00970822,0.00106579
HC,Left-Cerebellum-Cortex,19,0.03628267,0.00302397
FD,Left-Cerebellum-Cortex,18,0.03630196,0.00365861
IBD,Left-Cerebellum-Cortex,19,0.03483227,0.00219403
IBS,Left-Cerebellum-Cortex,20,0.03553025,0.00256089
HC,Left-Thalamus-Proper,19,0.00510729,0.0003734
FD,Left-Thalamus-Proper,18,0.00498643,0.00043958
IBD,Left-Thalamus-Proper,19,0.00472677,0.00029128
IBS,Left-Thalamus-Proper,20,0.00499631,0.00024048
HC,Left-Caudate,19,0.00238785,0.00025158
FD,Left-Caudate,18,0.00236657,0.00030039
IBD,Left-Caudate,19,0.00228684,0.00015962
IBS,Left-Caudate,20,0.00227765,0.00021054
HC,Left-Putamen,19,0.00336494,0.00032574
FD,Left-Putamen,18,0.00338889,0.0003278
IBD,Left-Putamen,19,0.00330607,0.00032895
IBS,Left-Putamen,20,0.00323995,0.00028352
HC,Left-Pallidum,19,0.00139833,0.00012035
FD,Left-Pallidum,18,0.00134337,0.00011885
IBD,Left-Pallidum,19,0.00130075,0.00011881
IBS,Left-Pallidum,20,0.00134721,9.605e-05
HC,Left-Hippocampus,19,0.00269748,0.00021243
FD,Left-Hippocampus,18,0.00277885,0.00032952
IBD,Left-Hippocampus,19,0.00270733,0.00020332
IBS,Left-Hippocampus,20,0.0027204,0.00019873
HC,Left-Amygdala,19,0.00118294,0.00012501
FD,Left-Amygdala,18,0.00108192,0.00011296
IBD,Left-Amygdala,19,0.00111147,9.906e-05
IBS,Left-Amygdala,20,0.0011259,0.00015186
HC,Left-Accumbens-area,19,0.00031476,4.842e-05
FD,Left-Accumbens-area,18,0.00032056,6.725e-05
IBD,Left-Accumbens-area,19,0.00032251,5.651e-05
IBS,Left-Accumbens-area,20,0.00034018,6.444e-05
HC,CSF,19,0.00060557,9.241e-05
FD,CSF,18,0.00063729,0.00013433
IBD,CSF,19,0.00059276,0.0001136
IBS,CSF,20,0.00060251,0.00012201
HC,Right-Cerebellum-White-Matter,19,0.00908148,0.00105667
FD,Right-Cerebellum-White-Matter,18,0.00912259,0.00096275
IBD,Right-Cerebellum-White-Matter,19,0.00896696,0.00068765
IBS,Right-Cerebellum-White-Matter,20,0.00922415,0.00099961
HC,Right-Cerebellum-Cortex,19,0.03652089,0.00321359
FD,Right-Cerebellum-Cortex,18,0.03643649,0.00369067
IBD,Right-Cerebellum-Cortex,19,0.03562545,0.00226185
IBS,Right-Cerebellum-Cortex,20,0.036157,0.00263607
HC,Right-Thalamus-Proper,19,0.00488398,0.00030064
FD,Right-Thalamus-Proper,18,0.00482719,0.00034693
IBD,Right-Thalamus-Proper,19,0.00458769,0.00032433
IBS,Right-Thalamus-Proper,20,0.00475327,0.00023919
HC,Right-Caudate,19,0.00244335,0.0002357
FD,Right-Caudate,18,0.00248239,0.00028484
IBD,Right-Caudate,19,0.00232765,0.00013286
IBS,Right-Caudate,20,0.00235772,0.00023797
HC,Right-Putamen,19,0.00336031,0.00029927
FD,Right-Putamen,18,0.00345855,0.00034768
IBD,Right-Putamen,19,0.00334627,0.00028654
IBS,Right-Putamen,20,0.00330159,0.00027971
HC,Right-Pallidum,19,0.00135955,0.0001174
FD,Right-Pallidum,18,0.00132816,0.00012043
IBD,Right-Pallidum,19,0.00128,0.00010906
IBS,Right-Pallidum,20,0.00133083,0.00010114
HC,Right-Hippocampus,19,0.00282484,0.0002195
FD,Right-Hippocampus,18,0.00284101,0.00023392
IBD,Right-Hippocampus,19,0.00281771,0.00021159
IBS,Right-Hippocampus,20,0.00284653,0.00021218
HC,Right-Amygdala,19,0.00124623,0.00011934
FD,Right-Amygdala,18,0.00119005,0.00010015
